416.656,0.000,0.000,1.1920
416.668,0.000,0.000,1.1800
416.680,0.000,0.000,1.1640
416.692,0.000,0.000,1.1400
416.704,0.000,0.000,1.1120
416.716,0.000,0.000,1.0880
416.728,0.000,0.000,1.0480
416.740,0.000,0.000,1.0440
416.752,0.000,0.000,1.0640
416.764,0.000,0.000,1.0960
416.776,0.000,0.000,1.1640
416.788,0.000,0.000,1.1840
416.800,0.000,0.000,1.1840
416.812,0.000,0.000,1.1760
416.824,0.000,0.000,1.1560
416.836,0.000,0.000,1.0960
416.848,0.000,0.000,1.0760
416.860,0.000,0.000,1.0480
416.872,0.000,0.000,1.0440
416.884,0.000,0.000,1.0680
416.896,0.000,0.000,1.0960
416.908,0.000,0.000,1.1240
416.920,0.000,0.000,1.1520
416.932,0.000,0.000,1.1840
416.944,0.000,0.000,1.1840
416.956,0.000,0.000,1.1720
416.968,0.000,0.000,1.1480
416.980,0.000,0.000,1.1280
416.992,0.000,0.000,1.0720
417.004,0.000,0.000,1.0600
417.016,0.000,0.000,1.0480
417.028,0.000,0.000,1.0520
417.040,0.000,0.000,1.0760
417.052,0.000,0.000,1.1360
417.064,0.000,0.000,1.1640
417.076,0.000,0.000,1.1720
417.088,0.000,0.000,1.1920
417.100,0.000,0.000,1.1600
417.112,0.000,0.000,1.1440
417.124,0.000,0.000,1.1040
417.136,0.000,0.000,1.0840
417.148,0.000,0.000,1.0560
417.160,0.000,0.000,1.0480
417.172,0.000,0.000,1.0640
417.184,0.000,0.000,1.0800
417.196,0.000,0.000,1.1160
417.208,0.000,0.000,1.1720
417.220,0.000,0.000,1.1840
417.232,0.000,0.000,1.1880
417.244,0.000,0.000,1.1800
417.256,0.000,0.000,1.1680
417.268,0.000,0.000,1.1200
417.280,0.000,0.000,1.0960
417.292,0.000,0.000,1.0760
417.304,0.000,0.000,1.0560
417.316,0.000,0.000,1.0480
417.328,0.000,0.000,1.0640
417.340,0.000,0.000,1.0840
417.352,0.000,0.000,1.1080
417.364,0.000,0.000,1.1360
417.376,0.000,0.000,1.1800
417.388,0.000,0.000,1.1880
417.400,0.000,0.000,1.1800
417.412,0.000,0.000,1.1600
417.424,0.000,0.000,1.1160
417.436,0.000,0.000,1.0840
417.448,0.000,0.000,1.0600
417.460,0.000,0.000,1.0520
417.472,0.000,0.000,1.0440
417.484,0.000,0.000,1.0720
