11.380,0.000,0.000,1.1200
11.392,0.000,0.000,1.1240
11.404,0.000,0.000,1.1160
11.416,0.000,0.000,1.1200
11.428,0.000,0.000,1.1240
11.440,0.000,0.000,1.1160
11.452,0.000,0.000,1.1240
11.464,0.000,0.000,1.1160
11.476,0.000,0.000,1.1200
11.488,0.000,0.000,1.1200
11.500,0.000,0.000,1.1160
11.512,0.000,0.000,1.1080
11.524,0.000,0.000,1.1240
11.536,0.000,0.000,1.1160
11.548,0.000,0.000,1.1240
11.560,0.000,0.000,1.1120
11.572,0.000,0.000,1.1160
11.584,0.000,0.000,1.1160
11.596,0.000,0.000,1.1200
11.608,0.000,0.000,1.1160
11.620,0.000,0.000,1.1200
11.632,0.000,0.000,1.1160
11.644,0.000,0.000,1.1120
11.656,0.000,0.000,1.1240
11.668,0.000,0.000,1.1160
11.680,0.000,0.000,1.1160
11.692,0.000,0.000,1.1200
11.704,0.000,0.000,1.1240
11.716,0.000,0.000,1.1240
11.728,0.000,0.000,1.1160
11.740,0.000,0.000,1.1120
11.752,0.000,0.000,1.1200
11.764,0.000,0.000,1.1120
11.776,0.000,0.000,1.1240
11.788,0.000,0.000,1.1160
11.800,0.000,0.000,1.1200
11.812,0.000,0.000,1.1240
11.824,0.000,0.000,1.1160
11.836,0.000,0.000,1.1200
11.848,0.000,0.000,1.1160
11.860,0.000,0.000,1.1200
11.872,0.000,0.000,1.1200
11.884,0.000,0.000,1.1160
11.896,0.000,0.000,1.1160
11.908,0.000,0.000,1.1160
11.920,0.000,0.000,1.1120
11.932,0.000,0.000,1.1120
11.944,0.000,0.000,1.1200
11.956,0.000,0.000,1.1120
11.968,0.000,0.000,1.1200
11.980,0.000,0.000,1.1160
11.992,0.000,0.000,1.1200
12.004,0.000,0.000,1.1200
12.016,0.000,0.000,1.1160
12.028,0.000,0.000,1.1200
12.040,0.000,0.000,1.1160
12.052,0.000,0.000,1.1200
12.064,0.000,0.000,1.1240
12.076,0.000,0.000,1.1120
12.088,0.000,0.000,1.1160
12.100,0.000,0.000,1.1160
12.112,0.000,0.000,1.1200
12.124,0.000,0.000,1.1200
12.136,0.000,0.000,1.1120
12.148,0.000,0.000,1.1120
12.160,0.000,0.000,1.1160
12.172,0.000,0.000,1.1200
12.184,0.000,0.000,1.1240
12.196,0.000,0.000,1.1320
12.208,0.000,0.000,1.1160
12.220,0.000,0.000,1.1160
12.232,0.000,0.000,1.1280
12.244,0.000,0.000,1.1200
12.256,0.000,0.000,1.1240
12.268,0.000,0.000,1.1160
12.280,0.000,0.000,1.1160
12.292,0.000,0.000,1.1200
12.304,0.000,0.000,1.1200
12.316,0.000,0.000,1.1200
12.328,0.000,0.000,1.1240
12.340,0.000,0.000,1.1200
12.352,0.000,0.000,1.1120
12.364,0.000,0.000,1.1200
12.376,0.000,0.000,1.1080
12.388,0.000,0.000,1.1200
12.400,0.000,0.000,1.1200
12.412,0.000,0.000,1.1280
12.424,0.000,0.000,1.1120
12.436,0.000,0.000,1.1120
12.448,0.000,0.000,1.1160
12.460,0.000,0.000,1.1200
12.472,0.000,0.000,1.1240
12.484,0.000,0.000,1.1120
12.496,0.000,0.000,1.1160
12.508,0.000,0.000,1.1280
12.520,0.000,0.000,1.1200
